,CTYNAME,POPESTIMATE2017
2406,Bennett County,3454
2407,Bon Homme County,6984
2408,Brookings County,34255
2409,Brown County,39178
2410,Brule County,5312
2411,Buffalo County,1999
2412,Butte County,10107
2413,Campbell County,1379
2414,Charles Mix County,9428
2415,Clark County,3668
2416,Clay County,13990
2417,Codington County,28099
2418,Corson County,4203
2419,Custer County,8691
2420,Davison County,19704
2421,Day County,5521
2422,Deuel County,4281
2423,Dewey County,5835
2424,Douglas County,2931
2425,Edmunds County,3919
2426,Fall River County,6687
2427,Faulk County,2329
2428,Grant County,7061
2429,Gregory County,4226
2430,Haakon County,1943
2431,Hamlin County,5948
2432,Hand County,3277
2433,Hanson County,3423
2434,Harding County,1242
2435,Hughes County,17666
2436,Hutchinson County,7358
2437,Hyde County,1318
2438,Jackson County,3289
2439,Jerauld County,2028
2440,Jones County,936
2441,Kingsbury County,4952
2442,Lake County,12809
2443,Lawrence County,25429
2444,Lincoln County,56664
2445,Lyman County,3904
2446,McCook County,5499
2447,McPherson County,2426
2448,Marshall County,4804
2449,Meade County,28018
2450,Mellette County,2088
2451,Miner County,2228
2452,Minnehaha County,188616
2453,Moody County,6579
2454,Oglala Lakota County,14354
2455,Pennington County,110141
2456,Perkins County,2974
2457,Potter County,2231
2458,Roberts County,10278
2459,Sanborn County,2450
2460,Spink County,6410
2461,Stanley County,3011
2462,Sully County,1407
2463,Todd County,10065
2464,Tripp County,5460
2465,Turner County,8315
2466,Union County,15029
2467,Walworth County,5543
2468,Yankton County,22662
2469,Ziebach County,2756
2471,Anderson County,76257
2472,Bedford County,48117
2473,Benton County,15986
2474,Bledsoe County,14717
2475,Blount County,129929
2476,Bradley County,105560
2477,Campbell County,39648
2478,Cannon County,14216
2479,Carroll County,27860
2480,Carter County,56488
2481,Cheatham County,40330
2482,Chester County,17119
2483,Claiborne County,31609
2484,Clay County,7703
2485,Cocke County,35556
2486,Coffee County,55034
2487,Crockett County,14473
2488,Cumberland County,59078
2489,Davidson County,691243
2490,Decatur County,11751
2491,DeKalb County,19852
2492,Dickson County,52853
2493,Dyer County,37463
2494,Fayette County,40036
2495,Fentress County,18136
2496,Franklin County,41652
2497,Gibson County,49111
2498,Giles County,29401
2499,Grainger County,23144
2500,Greene County,68808
2501,Grundy County,13361
2502,Hamblen County,64277
2503,Hamilton County,361613
2504,Hancock County,6600
2505,Hardeman County,25447
2506,Hardin County,25846
2507,Hawkins County,56459
2508,Haywood County,17573
2509,Henderson County,27751
2510,Henry County,32450
2511,Hickman County,24864
2512,Houston County,8213
2513,Humphreys County,18484
2514,Jackson County,11677
2515,Jefferson County,53804
2516,Johnson County,17691
2517,Knox County,461860
2518,Lake County,7468
2519,Lauderdale County,25274
2520,Lawrence County,43396
2521,Lewis County,12035
2522,Lincoln County,33751
2523,Loudon County,52152
2524,McMinn County,52877
2525,McNairy County,26004
2526,Macon County,24079
2527,Madison County,97643
2528,Marion County,28425
2529,Marshall County,32931
2530,Maury County,92163
2531,Meigs County,12068
2532,Monroe County,46240
2533,Montgomery County,200182
2534,Moore County,6384
2535,Morgan County,21636
2536,Obion County,30385
2537,Overton County,22012
2538,Perry County,7975
2539,Pickett County,5073
2540,Polk County,16757
2541,Putnam County,77674
2542,Rhea County,32691
2543,Roane County,53036
2544,Robertson County,70177
2545,Rutherford County,317157
2546,Scott County,21989
2547,Sequatchie County,14736
2548,Sevier County,97638
2549,Shelby County,936961
2550,Smith County,19636
2551,Stewart County,13355
2552,Sullivan County,157158
2553,Sumner County,183545
2554,Tipton County,61366
2555,Trousdale County,10083
2556,Unicoi County,17759
2557,Union County,19442
2558,Van Buren County,5742
2559,Warren County,40651
2560,Washington County,127806
2561,Wayne County,16583
2562,Weakley County,33337
2563,White County,26753
2564,Williamson County,226257
2565,Wilson County,136442
2567,Anderson County,57741
2568,Andrews County,17722
2569,Angelina County,87805
2570,Aransas County,25572
2571,Archer County,8809
2572,Armstrong County,1879
2573,Atascosa County,48981
2574,Austin County,29786
2575,Bailey County,7077
2576,Bandera County,22351
2577,Bastrop County,84761
2578,Baylor County,3581
2579,Bee County,32563
2580,Bell County,347833
2581,Bexar County,1958578
2582,Blanco County,11626
2583,Borden County,673
2584,Bosque County,18326
2585,Bowie County,94012
2586,Brazoria County,362457
2587,Brazos County,222830
2588,Brewster County,9337
2589,Briscoe County,1528
2590,Brooks County,7235
2591,Brown County,38053
2592,Burleson County,18011
2593,Burnet County,46804
2594,Caldwell County,42338
2595,Calhoun County,21744
2596,Callahan County,13946
2597,Cameron County,423725
2598,Camp County,12855
2599,Carson County,6032
2600,Cass County,30012
2601,Castro County,7843
2602,Chambers County,41441
2603,Cherokee County,52240
2604,Childress County,7067
2605,Clay County,10421
2606,Cochran County,2851
2607,Coke County,3306
2608,Coleman County,8430
2609,Collin County,969603
2610,Collingsworth County,2987
2611,Colorado County,21232
2612,Comal County,141009
2613,Comanche County,13573
2614,Concho County,2717
2615,Cooke County,39895
2616,Coryell County,74913
2617,Cottle County,1387
2618,Crane County,4740
2619,Crockett County,3564
2620,Crosby County,5899
2621,Culberson County,2231
2622,Dallam County,7208
2623,Dallas County,2618148
2624,Dawson County,12813
2625,Deaf Smith County,18836
2626,Delta County,5298
2627,Denton County,836210
2628,DeWitt County,20226
2629,Dickens County,2209
2630,Dimmit County,10418
2631,Donley County,3311
2632,Duval County,11273
2633,Eastland County,18411
2634,Ector County,157087
2635,Edwards County,1953
2636,Ellis County,173620
2637,El Paso County,840410
2638,Erath County,41969
2639,Falls County,17437
2640,Fannin County,34446
2641,Fayette County,25272
2642,Fisher County,3880
2643,Floyd County,5855
2644,Foard County,1222
2645,Fort Bend County,764828
2646,Franklin County,10767
2647,Freestone County,19625
2648,Frio County,19600
2649,Gaines County,20638
2650,Galveston County,335036
2651,Garza County,6528
2652,Gillespie County,26646
2653,Glasscock County,1348
2654,Goliad County,7562
2655,Gonzales County,20893
2656,Gray County,22404
2657,Grayson County,131140
2658,Gregg County,123367
2659,Grimes County,28082
2660,Guadalupe County,159659
2661,Hale County,34134
2662,Hall County,3071
2663,Hamilton County,8422
2664,Hansford County,5447
2665,Hardeman County,3994
2666,Hardin County,57139
2667,Harris County,4652980
2668,Harrison County,66661
2669,Hartley County,5691
2670,Haskell County,5746
2671,Hays County,214485
2672,Hemphill County,4024
2673,Henderson County,81064
2674,Hidalgo County,860661
2675,Hill County,35852
2676,Hockley County,23088
2677,Hood County,58273
2678,Hopkins County,36496
2679,Houston County,23021
2680,Howard County,36040
2681,Hudspeth County,4408
2682,Hunt County,93872
2683,Hutchinson County,21375
2684,Irion County,1516
2685,Jack County,8832
2686,Jackson County,14805
2687,Jasper County,35561
2688,Jeff Davis County,2280
2689,Jefferson County,256299
2690,Jim Hogg County,5202
2691,Jim Wells County,40871
2692,Johnson County,167301
2693,Jones County,19983
2694,Karnes County,15187
2695,Kaufman County,122883
2696,Kendall County,44026
2697,Kenedy County,417
2698,Kent County,763
2699,Kerr County,51720
2700,Kimble County,4410
2701,King County,296
2702,Kinney County,3745
2703,Kleberg County,31088
2704,Knox County,3710
2705,Lamar County,49587
2706,Lamb County,13210
2707,Lampasas County,21027
2708,La Salle County,7584
2709,Lavaca County,20062
2710,Lee County,17183
2711,Leon County,17243
2712,Liberty County,83658
2713,Limestone County,23527
2714,Lipscomb County,3378
2715,Live Oak County,12174
2716,Llano County,21210
2717,Loving County,134
2718,Lubbock County,305225
2719,Lynn County,5859
2720,McCulloch County,7957
2721,McLennan County,251259
2722,McMullen County,778
2723,Madison County,14222
2724,Marion County,10064
2725,Martin County,5626
2726,Mason County,4222
2727,Matagorda County,36840
2728,Maverick County,58216
2729,Medina County,50066
2730,Menard County,2124
2731,Midland County,165049
2732,Milam County,25053
2733,Mills County,4921
2734,Mitchell County,8468
2735,Montague County,19539
2736,Montgomery County,570934
2737,Moore County,22097
2738,Morris County,12467
2739,Motley County,1230
2740,Nacogdoches County,65580
2741,Navarro County,48701
2742,Newton County,13952
2743,Nolan County,14770
2744,Nueces County,361221
2745,Ochiltree County,10073
2746,Oldham County,2114
2747,Orange County,85047
2748,Palo Pinto County,28570
2749,Panola County,23243
2750,Parker County,133463
2751,Parmer County,9842
2752,Pecos County,15634
2753,Polk County,49162
2754,Potter County,120458
2755,Presidio County,7156
2756,Rains County,11762
2757,Randall County,134442
2758,Reagan County,3710
2759,Real County,3429
2760,Red River County,12229
2761,Reeves County,15281
2762,Refugio County,7224
2763,Roberts County,938
2764,Robertson County,17203
2765,Rockwall County,96788
2766,Runnels County,10266
2767,Rusk County,52833
2768,Sabine County,10461
2769,San Augustine County,8253
2770,San Jacinto County,28270
2771,San Patricio County,67215
2772,San Saba County,5959
2773,Schleicher County,3001
2774,Scurry County,17050
2775,Shackelford County,3328
2776,Shelby County,25513
2777,Sherman County,3067
2778,Smith County,227727
2779,Somervell County,8845
2780,Starr County,64454
2781,Stephens County,9337
2782,Sterling County,1295
2783,Stonewall County,1388
2784,Sutton County,3767
2785,Swisher County,7515
2786,Tarrant County,2054475
2787,Taylor County,136290
2788,Terrell County,810
2789,Terry County,12715
2790,Throckmorton County,1527
2791,Titus County,32904
2792,Tom Green County,118019
2793,Travis County,1226698
2794,Trinity County,14667
2795,Tyler County,21539
2796,Upshur County,41281
2797,Upton County,3663
2798,Uvalde County,27132
2799,Val Verde County,49205
2800,Van Zandt County,55182
2801,Victoria County,92084
2802,Walker County,72245
2803,Waller County,51307
2804,Ward County,11472
2805,Washington County,35043
2806,Webb County,274794
2807,Wharton County,41968
2808,Wheeler County,5358
2809,Wichita County,132000
2810,Wilbarger County,12764
2811,Willacy County,21584
2812,Williamson County,547545
2813,Wilson County,49304
2814,Winkler County,7574
2815,Wise County,66181
2816,Wood County,44314
2817,Yoakum County,8568
2818,Young County,17979
2819,Zapata County,14322
2820,Zavala County,11948
2822,Beaver County,6386
2823,Box Elder County,54079
2824,Cache County,124438
2825,Carbon County,20295
2826,Daggett County,1029
2827,Davis County,347637
2828,Duchesne County,20026
2829,Emery County,10077
2830,Garfield County,5078
2831,Grand County,9674
2832,Iron County,51001
2833,Juab County,11250
2834,Kane County,7567
2835,Millard County,12863
2836,Morgan County,11873
2837,Piute County,1420
2838,Rich County,2391
2839,Salt Lake County,1135649
2840,San Juan County,15356
2841,Sanpete County,30035
2842,Sevier County,21316
2843,Summit County,41106
2844,Tooele County,67456
2845,Uintah County,35150
2846,Utah County,606425
2847,Wasatch County,32106
2848,Washington County,165662
2849,Wayne County,2719
2850,Weber County,251769
2852,Addison County,36776
2853,Bennington County,35594
2854,Caledonia County,30164
2855,Chittenden County,162372
2856,Essex County,6230
2857,Franklin County,49025
2858,Grand Isle County,6998
2859,Lamoille County,25337
2860,Orange County,28974
2861,Orleans County,26841
2862,Rutland County,59087
2863,Washington County,58290
2864,Windham County,42869
2865,Windsor County,55100
2867,Accomack County,32545
2868,Albemarle County,107702
2869,Alleghany County,15122
2870,Amelia County,13020
2871,Amherst County,31594
2872,Appomattox County,15681
2873,Arlington County,234965
2874,Augusta County,75144
2875,Bath County,4297
2876,Bedford County,77974
2877,Bland County,6350
2878,Botetourt County,33192
2879,Brunswick County,16244
2880,Buchanan County,21514
2881,Buckingham County,17065
2882,Campbell County,55010
2883,Caroline County,30461
2884,Carroll County,29708
2885,Charles City County,7004
2886,Charlotte County,12119
2887,Chesterfield County,343599
2888,Clarke County,14508
2889,Craig County,5062
2890,Culpeper County,51282
2891,Cumberland County,9811
2892,Dickenson County,14782
2893,Dinwiddie County,28208
2894,Essex County,11028
2895,Fairfax County,1148433
2896,Fauquier County,69465
2897,Floyd County,15755
2898,Fluvanna County,26452
2899,Franklin County,56445
2900,Frederick County,86484
2901,Giles County,16837
2902,Gloucester County,37292
2903,Goochland County,22685
2904,Grayson County,15665
2905,Greene County,19612
2906,Greensville County,11679
2907,Halifax County,34563
2908,Hanover County,105923
2909,Henrico County,327898
2910,Henry County,51227
2911,Highland County,2212
2912,Isle of Wight County,36552
2913,James City County,75524
2914,King and Queen County,7003
2915,King George County,26337
2916,King William County,16708
2917,Lancaster County,10788
2918,Lee County,23758
2919,Loudoun County,398080
2920,Louisa County,35860
2921,Lunenburg County,12235
2922,Madison County,13277
2923,Mathews County,8779
2924,Mecklenburg County,30686
2925,Middlesex County,10679
2926,Montgomery County,98559
2927,Nelson County,14943
2928,New Kent County,21682
2929,Northampton County,11846
2930,Northumberland County,12275
2931,Nottoway County,15434
2932,Orange County,36073
2933,Page County,23731
2934,Patrick County,17665
2935,Pittsylvania County,61258
2936,Powhatan County,28601
2937,Prince Edward County,22703
2938,Prince George County,37809
2939,Prince William County,463023
2940,Pulaski County,34184
2941,Rappahannock County,7321
2942,Richmond County,8939
2943,Roanoke County,93730
2944,Rockbridge County,22659
2945,Rockingham County,80227
2946,Russell County,27048
2947,Scott County,21865
2948,Shenandoah County,43225
2949,Smyth County,30656
2950,Southampton County,17750
2951,Spotsylvania County,133033
2952,Stafford County,146649
2953,Surry County,6540
2954,Sussex County,11373
2955,Tazewell County,41095
2956,Warren County,39563
2957,Washington County,54387
2958,Westmoreland County,17780
2959,Wise County,38586
2960,Wythe County,28882
2961,York County,67739
2962,Alexandria city,160035
2963,Bristol city,16790
2964,Buena Vista city,6327
2965,Charlottesville city,48019
2966,Chesapeake city,240397
2967,Colonial Heights city,17830
2968,Covington city,5531
2969,Danville city,41130
2970,Emporia city,5282
2971,Fairfax city,24097
2972,Falls Church city,14583
2973,Franklin city,8176
2974,Fredericksburg city,28360
2975,Galax city,6625
2976,Hampton city,134669
2977,Harrisonburg city,54215
2978,Hopewell city,22621
2979,Lexington city,7106
2980,Lynchburg city,80995
2981,Manassas city,41501
2982,Manassas Park city,16591
2983,Martinsville city,13142
2984,Newport News city,179388
2985,Norfolk city,244703
2986,Norton city,3936
2987,Petersburg city,31750
2988,Poquoson city,12053
2989,Portsmouth city,94572
2990,Radford city,17658
2991,Richmond city,227032
2992,Roanoke city,99837
2993,Salem city,25862
2994,Staunton city,24528
2995,Suffolk city,90237
2996,Virginia Beach city,450435
2997,Waynesboro city,22327
2998,Williamsburg city,15031
2999,Winchester city,27932
3001,Adams County,19506
3002,Asotin County,22535
3003,Benton County,198171
3004,Chelan County,76533
3005,Clallam County,75474
3006,Clark County,474643
3007,Columbia County,4047
3008,Cowlitz County,106910
3009,Douglas County,41945
3010,Ferry County,7594
3011,Franklin County,92125
3012,Garfield County,2210
3013,Grant County,95158
3014,Grays Harbor County,72697
3015,Island County,83159
3016,Jefferson County,31234
3017,King County,2188649
3018,Kitsap County,266414
3019,Kittitas County,46205
3020,Klickitat County,21811
3021,Lewis County,78200
3022,Lincoln County,10579
3023,Mason County,63710
3024,Okanogan County,41742
3025,Pacific County,21626
3026,Pend Oreille County,13354
3027,Pierce County,876764
3028,San Juan County,16715
3029,Skagit County,125619
3030,Skamania County,11837
3031,Snohomish County,801633
3032,Spokane County,506152
3033,Stevens County,44730
3034,Thurston County,280588
3035,Wahkiakum County,4264
3036,Walla Walla County,60567
3037,Whatcom County,221404
3038,Whitman County,49046
3039,Yakima County,250193
3041,Barbour County,16497
3042,Berkeley County,114920
3043,Boone County,22349
3044,Braxton County,14237
3045,Brooke County,22443
3046,Cabell County,94958
3047,Calhoun County,7307
3048,Clay County,8764
3049,Doddridge County,8560
3050,Fayette County,43521
3051,Gilmer County,8005
3052,Grant County,11670
3053,Greenbrier County,35287
3054,Hampshire County,23471
3055,Hancock County,29448
3056,Hardy County,13717
3057,Harrison County,67811
3058,Jackson County,28976
3059,Jefferson County,56338
3060,Kanawha County,183293
3061,Lewis County,16226
3062,Lincoln County,20825
3063,Logan County,32925
3064,McDowell County,18456
3065,Marion County,56337
3066,Marshall County,31190
3067,Mason County,26801
3068,Mercer County,59753
3069,Mineral County,27222
3070,Mingo County,24127
3071,Monongalia County,105030
3072,Monroe County,13402
3073,Morgan County,17686
3074,Nicholas County,25043
3075,Ohio County,42035
3076,Pendleton County,6996
3077,Pleasants County,7512
3078,Pocahontas County,8456
3079,Preston County,33679
3080,Putnam County,56792
3081,Raleigh County,75022
3082,Randolph County,28785
3083,Ritchie County,9774
3084,Roane County,14043
3085,Summers County,12993
3086,Taylor County,16930
3087,Tucker County,6915
3088,Tyler County,8795
3089,Upshur County,24465
3090,Wayne County,40153
3091,Webster County,8372
3092,Wetzel County,15437
3093,Wirt County,5794
3094,Wood County,85104
3095,Wyoming County,21210
3097,Adams County,19973
3098,Ashland County,15500
3099,Barron County,45251
3100,Bayfield County,15008
3101,Brown County,262052
3102,Buffalo County,13167
3103,Burnett County,15352
3104,Calumet County,50067
3105,Chippewa County,63813
3106,Clark County,34679
3107,Columbia County,57248
3108,Crawford County,16214
3109,Dane County,536416
3110,Dodge County,87786
3111,Door County,27483
3112,Douglas County,43284
3113,Dunn County,44693
3114,Eau Claire County,103671
3115,Florence County,4371
3116,Fond du Lac County,102548
3117,Forest County,8970
3118,Grant County,51999
3119,Green County,36851
3120,Green Lake County,18760
3121,Iowa County,23715
3122,Iron County,5671
3123,Jackson County,20529
3124,Jefferson County,84832
3125,Juneau County,26576
3126,Kenosha County,168521
3127,Kewaunee County,20445
3128,La Crosse County,118274
3129,Lafayette County,16741
3130,Langlade County,19160
3131,Lincoln County,27838
3132,Manitowoc County,79175
3133,Marathon County,135732
3134,Marinette County,40310
3135,Marquette County,15308
3136,Menominee County,4615
3137,Milwaukee County,952085
3138,Monroe County,45625
3139,Oconto County,37553
3140,Oneida County,35254
3141,Outagamie County,186059
3142,Ozaukee County,88429
3143,Pepin County,7254
3144,Pierce County,41901
3145,Polk County,43450
3146,Portage County,70474
3147,Price County,13442
3148,Racine County,196071
3149,Richland County,17516
3150,Rock County,162309
3151,Rusk County,14151
3152,St. Croix County,88703
3153,Sauk County,63981
3154,Sawyer County,16418
3155,Shawano County,40935
3156,Sheboygan County,115344
3157,Taylor County,20321
3158,Trempealeau County,29472
3159,Vernon County,30759
3160,Vilas County,21683
3161,Walworth County,103082
3162,Washburn County,15758
3163,Washington County,135101
3164,Waukesha County,400621
3165,Waupaca County,51225
3166,Waushara County,24369
3167,Winnebago County,170414
3168,Wood County,73126
3170,Albany County,38332
3171,Big Horn County,11906
3172,Campbell County,46242
3173,Carbon County,15303
3174,Converse County,13809
3175,Crook County,7410
3176,Fremont County,39803
3177,Goshen County,13378
3178,Hot Springs County,4696
3179,Johnson County,8476
3180,Laramie County,98327
3181,Lincoln County,19265
3182,Natrona County,79547
3183,Niobrara County,2397
3184,Park County,29568
3185,Platte County,8562
3186,Sheridan County,30210
3187,Sublette County,9799
3188,Sweetwater County,43534
3189,Teton County,23265
3190,Uinta County,20495
3191,Washakie County,8064
3192,Weston County,6927
